Статистика проездов: (2020-06-01 00:00 - 2020-06-07 23:59)  - Камера 31;;;;;;;
;;;;;;;
№п/п;Дата;Камера;Час;Минуты;Сумма;;
1;01.06.2020;431;0;0;16;;
2;01.06.2020;431;0;30;8;;24
3;01.06.2020;431;1;0;8;;
4;01.06.2020;431;1;30;2;;10
5;01.06.2020;431;2;0;2;;
6;01.06.2020;431;2;30;6;;8
7;01.06.2020;431;3;30;5;;5
8;01.06.2020;431;4;0;7;;
9;01.06.2020;431;4;30;2;;9
10;01.06.2020;431;5;0;10;;
11;01.06.2020;431;5;30;8;;18
12;01.06.2020;431;6;0;19;;
13;01.06.2020;431;6;30;52;;71
14;01.06.2020;431;7;0;55;;
15;01.06.2020;431;7;30;72;;127
16;01.06.2020;431;8;0;101;;
17;01.06.2020;431;8;30;107;;208
18;01.06.2020;431;9;0;103;;
19;01.06.2020;431;9;30;43;;146
20;01.06.2020;431;10;0;52;;
21;01.06.2020;431;10;30;96;;148
22;01.06.2020;431;11;0;91;;
23;01.06.2020;431;11;30;108;;199
24;01.06.2020;431;12;0;156;;
25;01.06.2020;431;12;30;108;;264
26;01.06.2020;431;13;0;111;;
27;01.06.2020;431;13;30;139;;250
28;01.06.2020;431;14;0;137;;
29;01.06.2020;431;14;30;128;;265
30;01.06.2020;431;15;0;91;;
31;01.06.2020;431;15;30;53;;144
32;01.06.2020;431;16;0;139;;
33;01.06.2020;431;16;30;137;;276
34;01.06.2020;431;17;0;173;;
35;01.06.2020;431;17;30;188;;361
36;01.06.2020;431;18;0;151;;
37;01.06.2020;431;18;30;123;;274
38;01.06.2020;431;19;0;96;;
39;01.06.2020;431;19;30;92;;188
40;01.06.2020;431;20;0;83;;
41;01.06.2020;431;20;30;60;;143
42;01.06.2020;431;21;0;56;;
43;01.06.2020;431;21;30;40;;96
44;01.06.2020;431;22;0;44;;
45;01.06.2020;431;22;30;23;;67
46;01.06.2020;431;23;0;18;;
47;01.06.2020;431;23;30;18;;36
48;02.06.2020;431;0;0;6;;
49;02.06.2020;431;0;30;7;;13
50;02.06.2020;431;1;0;5;;
51;02.06.2020;431;1;30;4;;9
52;02.06.2020;431;2;0;2;;
53;02.06.2020;431;2;30;5;;7
54;02.06.2020;431;3;0;1;;
55;02.06.2020;431;3;30;5;;6
56;02.06.2020;431;4;0;2;;
57;02.06.2020;431;4;30;2;;4
58;02.06.2020;431;5;0;4;;
59;02.06.2020;431;5;30;7;;11
60;02.06.2020;431;6;0;16;;
61;02.06.2020;431;6;30;41;;57
62;02.06.2020;431;7;0;56;;
63;02.06.2020;431;7;30;64;;120
64;02.06.2020;431;8;0;83;;
65;02.06.2020;431;8;30;121;;204
66;02.06.2020;431;9;0;97;;
67;02.06.2020;431;9;30;93;;190
68;02.06.2020;431;10;0;103;;
69;02.06.2020;431;10;30;123;;226
70;02.06.2020;431;11;0;137;;
71;02.06.2020;431;11;30;125;;262
72;02.06.2020;431;12;0;156;;
73;02.06.2020;431;12;30;210;;366
74;02.06.2020;431;13;0;145;;
75;02.06.2020;431;13;30;141;;286
76;02.06.2020;431;14;0;135;;
77;02.06.2020;431;14;30;138;;273
78;02.06.2020;431;15;0;126;;
